England and Wales Code,England and Wales,Distance travelled to work (8 categories) Code,Distance travelled to work (8 categories),Occupation (current) (105 categories) Code,Occupation (current) (105 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,31823877
K04000001,England and Wales,-8,Does not apply,1,111 Chief executives and senior officials,0
K04000001,England and Wales,-8,Does not apply,2,112 Production managers and directors,0
K04000001,England and Wales,-8,Does not apply,3,113 Functional managers and directors,0
K04000001,England and Wales,-8,Does not apply,4,"114 Directors in logistics, warehousing and transport",0
K04000001,England and Wales,-8,Does not apply,5,115 Managers and directors in retail and wholesale,0
K04000001,England and Wales,-8,Does not apply,6,116 Senior officers in protective services,0
K04000001,England and Wales,-8,Does not apply,7,117 Health and social services managers and directors,0
K04000001,England and Wales,-8,Does not apply,8,121 Managers and proprietors in agriculture related services,0
K04000001,England and Wales,-8,Does not apply,9,122 Managers and proprietors in hospitality and leisure services,0
K04000001,England and Wales,-8,Does not apply,10,123 Managers and proprietors in health and care services,0
K04000001,England and Wales,-8,Does not apply,11,"124 Managers in logistics, warehousing and transport",0
K04000001,England and Wales,-8,Does not apply,12,125 Managers and proprietors in other services,0
K04000001,England and Wales,-8,Does not apply,13,211 Natural and social science professionals,0
K04000001,England and Wales,-8,Does not apply,14,212 Engineering professionals,0
K04000001,England and Wales,-8,Does not apply,15,213 Information technology professionals,0
K04000001,England and Wales,-8,Does not apply,16,214 Web and multimedia design professionals,0
K04000001,England and Wales,-8,Does not apply,17,215 Conservation and environment professionals,0
K04000001,England and Wales,-8,Does not apply,18,216 Research and development (R&D) and other research professionals,0
K04000001,England and Wales,-8,Does not apply,19,221 Medical practitioners,0
K04000001,England and Wales,-8,Does not apply,20,222 Therapy professionals,0
K04000001,England and Wales,-8,Does not apply,21,223 Nursing and midwifery professionals,0
K04000001,England and Wales,-8,Does not apply,22,224 Veterinarians,0
K04000001,England and Wales,-8,Does not apply,23,225 Other health professionals,0
K04000001,England and Wales,-8,Does not apply,24,231 Teaching and other educational professionals,0
K04000001,England and Wales,-8,Does not apply,25,232 Other educational professionals,0
K04000001,England and Wales,-8,Does not apply,26,241 Legal professionals,0
K04000001,England and Wales,-8,Does not apply,27,242 Finance professionals,0
K04000001,England and Wales,-8,Does not apply,28,"243 Business, research and administrative professionals",0
K04000001,England and Wales,-8,Does not apply,29,244 Business and financial project management professionals,0
K04000001,England and Wales,-8,Does not apply,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",0
K04000001,England and Wales,-8,Does not apply,31,246 Welfare professionals,0
K04000001,England and Wales,-8,Does not apply,32,247 Librarians and related professionals,0
K04000001,England and Wales,-8,Does not apply,33,248 Quality and regulatory professionals,0
K04000001,England and Wales,-8,Does not apply,34,249 Media professionals,0
K04000001,England and Wales,-8,Does not apply,35,"311 Science, engineering and production technicians",0
K04000001,England and Wales,-8,Does not apply,36,"312 CAD, drawing and architectural technicians",0
K04000001,England and Wales,-8,Does not apply,37,313 Information technology technicians,0
K04000001,England and Wales,-8,Does not apply,38,321 Health associate professionals,0
K04000001,England and Wales,-8,Does not apply,39,322 Welfare and housing associate professionals,0
K04000001,England and Wales,-8,Does not apply,40,323 Teaching and childcare associate professionals,0
K04000001,England and Wales,-8,Does not apply,41,324 Veterinary nurses,0
K04000001,England and Wales,-8,Does not apply,42,331 Protective service occupations,0
K04000001,England and Wales,-8,Does not apply,43,"341 Artistic, literary and media occupations",0
K04000001,England and Wales,-8,Does not apply,44,342 Design occupations,0
K04000001,England and Wales,-8,Does not apply,45,343 Sports and fitness occupations,0
K04000001,England and Wales,-8,Does not apply,46,351 Transport associate professionals,0
K04000001,England and Wales,-8,Does not apply,47,352 Legal associate professionals,0
K04000001,England and Wales,-8,Does not apply,48,353 Finance associate professionals,0
K04000001,England and Wales,-8,Does not apply,49,354 Business associate professionals,0
K04000001,England and Wales,-8,Does not apply,50,"355 Sales, marketing and related associate professionals",0
K04000001,England and Wales,-8,Does not apply,51,356 Public services associate professionals,0
K04000001,England and Wales,-8,Does not apply,52,"357 HR, training and other vocational associate guidance professionals",0
K04000001,England and Wales,-8,Does not apply,53,358 Regulatory associate professionals,0
K04000001,England and Wales,-8,Does not apply,54,411 Administrative occupations: Government and related organisations,0
K04000001,England and Wales,-8,Does not apply,55,412 Administrative occupations: Finance,0
K04000001,England and Wales,-8,Does not apply,56,413 Administrative occupations: Records,0
K04000001,England and Wales,-8,Does not apply,57,414 Administrative occupations: Office managers and supervisors,0
K04000001,England and Wales,-8,Does not apply,58,415 Other administrative occupations,0
K04000001,England and Wales,-8,Does not apply,59,421 Secretarial and related occupations,0
K04000001,England and Wales,-8,Does not apply,60,511 Agricultural and related trades,0
K04000001,England and Wales,-8,Does not apply,61,"521 Metal forming, welding and related trades",0
K04000001,England and Wales,-8,Does not apply,62,"522 Metal machining, fitting and instrument making trades",0
K04000001,England and Wales,-8,Does not apply,63,523 Vehicle trades,0
K04000001,England and Wales,-8,Does not apply,64,524 Electrical and electronic trades,0
K04000001,England and Wales,-8,Does not apply,65,"525 Skilled metal, electrical and electronic trades supervisors",0
K04000001,England and Wales,-8,Does not apply,66,531 Construction and building trades,0
K04000001,England and Wales,-8,Does not apply,67,532 Building finishing trades,0
K04000001,England and Wales,-8,Does not apply,68,533 Construction and building trades supervisors,0
K04000001,England and Wales,-8,Does not apply,69,541 Textiles and garments trades,0
K04000001,England and Wales,-8,Does not apply,70,542 Printing trades,0
K04000001,England and Wales,-8,Does not apply,71,543 Food preparation and hospitality trades,0
K04000001,England and Wales,-8,Does not apply,72,544 Other skilled trades,0
K04000001,England and Wales,-8,Does not apply,73,611 Teaching and childcare support occupations,0
K04000001,England and Wales,-8,Does not apply,74,612 Animal care and control services,0
K04000001,England and Wales,-8,Does not apply,75,613 Caring personal services,0
K04000001,England and Wales,-8,Does not apply,76,621 Leisure and travel services,0
K04000001,England and Wales,-8,Does not apply,77,622 Hairdressers and related services,0
K04000001,England and Wales,-8,Does not apply,78,623 Housekeeping and related services,0
K04000001,England and Wales,-8,Does not apply,79,624 Cleaning and housekeeping managers and supervisors,0
K04000001,England and Wales,-8,Does not apply,80,625 Bed and breakfast and guest house owners and proprietors,0
K04000001,England and Wales,-8,Does not apply,81,631 Community and civil enforcement occupations,0
K04000001,England and Wales,-8,Does not apply,82,711 Sales assistants and retail cashiers,0
K04000001,England and Wales,-8,Does not apply,83,712 Sales related occupations,0
K04000001,England and Wales,-8,Does not apply,84,713 Shopkeepers and sales supervisors,0
K04000001,England and Wales,-8,Does not apply,85,721 Customer service occupations,0
K04000001,England and Wales,-8,Does not apply,86,722 Customer service supervisors,0
K04000001,England and Wales,-8,Does not apply,87,811 Process operatives,0
K04000001,England and Wales,-8,Does not apply,88,812 Metal working machine operatives,0
K04000001,England and Wales,-8,Does not apply,89,813 Plant and machine operatives,0
K04000001,England and Wales,-8,Does not apply,90,814 Assemblers and routine operatives,0
K04000001,England and Wales,-8,Does not apply,91,815 Construction operatives,0
K04000001,England and Wales,-8,Does not apply,92,"816 Production, factory and assembly supervisors",0
K04000001,England and Wales,-8,Does not apply,93,821 Road transport drivers,0
K04000001,England and Wales,-8,Does not apply,94,822 Mobile machine drivers and operatives,0
K04000001,England and Wales,-8,Does not apply,95,823 Other drivers and transport operatives,0
K04000001,England and Wales,-8,Does not apply,96,911 Elementary agricultural occupations,0
K04000001,England and Wales,-8,Does not apply,97,912 Elementary construction occupations,0
K04000001,England and Wales,-8,Does not apply,98,913 Elementary process plant occupations,0
K04000001,England and Wales,-8,Does not apply,99,921 Elementary administration occupations,0
K04000001,England and Wales,-8,Does not apply,100,922 Elementary cleaning occupations,0
K04000001,England and Wales,-8,Does not apply,101,923 Elementary security occupations,0
K04000001,England and Wales,-8,Does not apply,102,924 Elementary sales occupations,0
K04000001,England and Wales,-8,Does not apply,103,925 Elementary storage occupations,0
K04000001,England and Wales,-8,Does not apply,104,926 Other elementary services occupations,0
K04000001,England and Wales,1,Less than 5km,-8,Does not apply,0
K04000001,England and Wales,1,Less than 5km,1,111 Chief executives and senior officials,8858
K04000001,England and Wales,1,Less than 5km,2,112 Production managers and directors,80945
K04000001,England and Wales,1,Less than 5km,3,113 Functional managers and directors,72186
K04000001,England and Wales,1,Less than 5km,4,"114 Directors in logistics, warehousing and transport",1915
K04000001,England and Wales,1,Less than 5km,5,115 Managers and directors in retail and wholesale,126657
K04000001,England and Wales,1,Less than 5km,6,116 Senior officers in protective services,5943
K04000001,England and Wales,1,Less than 5km,7,117 Health and social services managers and directors,22200
K04000001,England and Wales,1,Less than 5km,8,121 Managers and proprietors in agriculture related services,5340
K04000001,England and Wales,1,Less than 5km,9,122 Managers and proprietors in hospitality and leisure services,88649
K04000001,England and Wales,1,Less than 5km,10,123 Managers and proprietors in health and care services,25466
K04000001,England and Wales,1,Less than 5km,11,"124 Managers in logistics, warehousing and transport",33152
K04000001,England and Wales,1,Less than 5km,12,125 Managers and proprietors in other services,82120
K04000001,England and Wales,1,Less than 5km,13,211 Natural and social science professionals,16468
K04000001,England and Wales,1,Less than 5km,14,212 Engineering professionals,39291
K04000001,England and Wales,1,Less than 5km,15,213 Information technology professionals,26931
K04000001,England and Wales,1,Less than 5km,16,214 Web and multimedia design professionals,5622
K04000001,England and Wales,1,Less than 5km,17,215 Conservation and environment professionals,2096
K04000001,England and Wales,1,Less than 5km,18,216 Research and development (R&D) and other research professionals,10439
K04000001,England and Wales,1,Less than 5km,19,221 Medical practitioners,67876
K04000001,England and Wales,1,Less than 5km,20,222 Therapy professionals,27994
K04000001,England and Wales,1,Less than 5km,21,223 Nursing and midwifery professionals,207772
K04000001,England and Wales,1,Less than 5km,22,224 Veterinarians,4221
K04000001,England and Wales,1,Less than 5km,23,225 Other health professionals,50962
K04000001,England and Wales,1,Less than 5km,24,231 Teaching and other educational professionals,249474
K04000001,England and Wales,1,Less than 5km,25,232 Other educational professionals,48121
K04000001,England and Wales,1,Less than 5km,26,241 Legal professionals,17929
K04000001,England and Wales,1,Less than 5km,27,242 Finance professionals,28156
K04000001,England and Wales,1,Less than 5km,28,"243 Business, research and administrative professionals",18287
K04000001,England and Wales,1,Less than 5km,29,244 Business and financial project management professionals,9464
K04000001,England and Wales,1,Less than 5km,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",12650
K04000001,England and Wales,1,Less than 5km,31,246 Welfare professionals,20368
K04000001,England and Wales,1,Less than 5km,32,247 Librarians and related professionals,4012
K04000001,England and Wales,1,Less than 5km,33,248 Quality and regulatory professionals,11941
K04000001,England and Wales,1,Less than 5km,34,249 Media professionals,6259
K04000001,England and Wales,1,Less than 5km,35,"311 Science, engineering and production technicians",55337
K04000001,England and Wales,1,Less than 5km,36,"312 CAD, drawing and architectural technicians",5447
K04000001,England and Wales,1,Less than 5km,37,313 Information technology technicians,24057
K04000001,England and Wales,1,Less than 5km,38,321 Health associate professionals,28570
K04000001,England and Wales,1,Less than 5km,39,322 Welfare and housing associate professionals,46943
K04000001,England and Wales,1,Less than 5km,40,323 Teaching and childcare associate professionals,109466
K04000001,England and Wales,1,Less than 5km,41,324 Veterinary nurses,4719
K04000001,England and Wales,1,Less than 5km,42,331 Protective service occupations,52670
K04000001,England and Wales,1,Less than 5km,43,"341 Artistic, literary and media occupations",21451
K04000001,England and Wales,1,Less than 5km,44,342 Design occupations,7473
K04000001,England and Wales,1,Less than 5km,45,343 Sports and fitness occupations,26773
K04000001,England and Wales,1,Less than 5km,46,351 Transport associate professionals,2138
K04000001,England and Wales,1,Less than 5km,47,352 Legal associate professionals,4760
K04000001,England and Wales,1,Less than 5km,48,353 Finance associate professionals,16460
K04000001,England and Wales,1,Less than 5km,49,354 Business associate professionals,23253
K04000001,England and Wales,1,Less than 5km,50,"355 Sales, marketing and related associate professionals",76512
K04000001,England and Wales,1,Less than 5km,51,356 Public services associate professionals,7818
K04000001,England and Wales,1,Less than 5km,52,"357 HR, training and other vocational associate guidance professionals",31639
K04000001,England and Wales,1,Less than 5km,53,358 Regulatory associate professionals,7024
K04000001,England and Wales,1,Less than 5km,54,411 Administrative occupations: Government and related organisations,33040
K04000001,England and Wales,1,Less than 5km,55,412 Administrative occupations: Finance,93161
K04000001,England and Wales,1,Less than 5km,56,413 Administrative occupations: Records,81162
K04000001,England and Wales,1,Less than 5km,57,414 Administrative occupations: Office managers and supervisors,50507
K04000001,England and Wales,1,Less than 5km,58,415 Other administrative occupations,159488
K04000001,England and Wales,1,Less than 5km,59,421 Secretarial and related occupations,177327
K04000001,England and Wales,1,Less than 5km,60,511 Agricultural and related trades,28987
K04000001,England and Wales,1,Less than 5km,61,"521 Metal forming, welding and related trades",21288
K04000001,England and Wales,1,Less than 5km,62,"522 Metal machining, fitting and instrument making trades",56213
K04000001,England and Wales,1,Less than 5km,63,523 Vehicle trades,60458
K04000001,England and Wales,1,Less than 5km,64,524 Electrical and electronic trades,26016
K04000001,England and Wales,1,Less than 5km,65,"525 Skilled metal, electrical and electronic trades supervisors",8805
K04000001,England and Wales,1,Less than 5km,66,531 Construction and building trades,44735
K04000001,England and Wales,1,Less than 5km,67,532 Building finishing trades,9508
K04000001,England and Wales,1,Less than 5km,68,533 Construction and building trades supervisors,5926
K04000001,England and Wales,1,Less than 5km,69,541 Textiles and garments trades,11607
K04000001,England and Wales,1,Less than 5km,70,542 Printing trades,8051
K04000001,England and Wales,1,Less than 5km,71,543 Food preparation and hospitality trades,171611
K04000001,England and Wales,1,Less than 5km,72,544 Other skilled trades,17571
K04000001,England and Wales,1,Less than 5km,73,611 Teaching and childcare support occupations,276410
K04000001,England and Wales,1,Less than 5km,74,612 Animal care and control services,12285
K04000001,England and Wales,1,Less than 5km,75,613 Caring personal services,501905
K04000001,England and Wales,1,Less than 5km,76,621 Leisure and travel services,27168
K04000001,England and Wales,1,Less than 5km,77,622 Hairdressers and related services,78164
K04000001,England and Wales,1,Less than 5km,78,623 Housekeeping and related services,63031
K04000001,England and Wales,1,Less than 5km,79,624 Cleaning and housekeeping managers and supervisors,23758
K04000001,England and Wales,1,Less than 5km,80,625 Bed and breakfast and guest house owners and proprietors,502
K04000001,England and Wales,1,Less than 5km,81,631 Community and civil enforcement occupations,5211
K04000001,England and Wales,1,Less than 5km,82,711 Sales assistants and retail cashiers,681372
K04000001,England and Wales,1,Less than 5km,83,712 Sales related occupations,10989
K04000001,England and Wales,1,Less than 5km,84,713 Shopkeepers and sales supervisors,100212
K04000001,England and Wales,1,Less than 5km,85,721 Customer service occupations,88728
K04000001,England and Wales,1,Less than 5km,86,722 Customer service supervisors,4079
K04000001,England and Wales,1,Less than 5km,87,811 Process operatives,100330
K04000001,England and Wales,1,Less than 5km,88,812 Metal working machine operatives,15945
K04000001,England and Wales,1,Less than 5km,89,813 Plant and machine operatives,23710
K04000001,England and Wales,1,Less than 5km,90,814 Assemblers and routine operatives,63399
K04000001,England and Wales,1,Less than 5km,91,815 Construction operatives,21381
K04000001,England and Wales,1,Less than 5km,92,"816 Production, factory and assembly supervisors",20143
K04000001,England and Wales,1,Less than 5km,93,821 Road transport drivers,158705
K04000001,England and Wales,1,Less than 5km,94,822 Mobile machine drivers and operatives,29806
K04000001,England and Wales,1,Less than 5km,95,823 Other drivers and transport operatives,12251
K04000001,England and Wales,1,Less than 5km,96,911 Elementary agricultural occupations,11954
K04000001,England and Wales,1,Less than 5km,97,912 Elementary construction occupations,16572
K04000001,England and Wales,1,Less than 5km,98,913 Elementary process plant occupations,94280
K04000001,England and Wales,1,Less than 5km,99,921 Elementary administration occupations,60460
K04000001,England and Wales,1,Less than 5km,100,922 Elementary cleaning occupations,282624
K04000001,England and Wales,1,Less than 5km,101,923 Elementary security occupations,104974
K04000001,England and Wales,1,Less than 5km,102,924 Elementary sales occupations,43892
K04000001,England and Wales,1,Less than 5km,103,925 Elementary storage occupations,207384
K04000001,England and Wales,1,Less than 5km,104,926 Other elementary services occupations,357894
K04000001,England and Wales,2,5km to less than 10km,-8,Does not apply,0
K04000001,England and Wales,2,5km to less than 10km,1,111 Chief executives and senior officials,5785
K04000001,England and Wales,2,5km to less than 10km,2,112 Production managers and directors,57750
K04000001,England and Wales,2,5km to less than 10km,3,113 Functional managers and directors,51806
K04000001,England and Wales,2,5km to less than 10km,4,"114 Directors in logistics, warehousing and transport",1388
K04000001,England and Wales,2,5km to less than 10km,5,115 Managers and directors in retail and wholesale,67187
K04000001,England and Wales,2,5km to less than 10km,6,116 Senior officers in protective services,3578
K04000001,England and Wales,2,5km to less than 10km,7,117 Health and social services managers and directors,13991
K04000001,England and Wales,2,5km to less than 10km,8,121 Managers and proprietors in agriculture related services,3348
K04000001,England and Wales,2,5km to less than 10km,9,122 Managers and proprietors in hospitality and leisure services,39654
K04000001,England and Wales,2,5km to less than 10km,10,123 Managers and proprietors in health and care services,13865
K04000001,England and Wales,2,5km to less than 10km,11,"124 Managers in logistics, warehousing and transport",23259
K04000001,England and Wales,2,5km to less than 10km,12,125 Managers and proprietors in other services,46212
K04000001,England and Wales,2,5km to less than 10km,13,211 Natural and social science professionals,11165
K04000001,England and Wales,2,5km to less than 10km,14,212 Engineering professionals,29940
K04000001,England and Wales,2,5km to less than 10km,15,213 Information technology professionals,18633
K04000001,England and Wales,2,5km to less than 10km,16,214 Web and multimedia design professionals,3744
K04000001,England and Wales,2,5km to less than 10km,17,215 Conservation and environment professionals,1461
K04000001,England and Wales,2,5km to less than 10km,18,216 Research and development (R&D) and other research professionals,4824
K04000001,England and Wales,2,5km to less than 10km,19,221 Medical practitioners,42282
K04000001,England and Wales,2,5km to less than 10km,20,222 Therapy professionals,20306
K04000001,England and Wales,2,5km to less than 10km,21,223 Nursing and midwifery professionals,120054
K04000001,England and Wales,2,5km to less than 10km,22,224 Veterinarians,3121
K04000001,England and Wales,2,5km to less than 10km,23,225 Other health professionals,33989
K04000001,England and Wales,2,5km to less than 10km,24,231 Teaching and other educational professionals,164572
K04000001,England and Wales,2,5km to less than 10km,25,232 Other educational professionals,27870
K04000001,England and Wales,2,5km to less than 10km,26,241 Legal professionals,12442
K04000001,England and Wales,2,5km to less than 10km,27,242 Finance professionals,19455
K04000001,England and Wales,2,5km to less than 10km,28,"243 Business, research and administrative professionals",12018
K04000001,England and Wales,2,5km to less than 10km,29,244 Business and financial project management professionals,7585
K04000001,England and Wales,2,5km to less than 10km,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",11221
K04000001,England and Wales,2,5km to less than 10km,31,246 Welfare professionals,12428
K04000001,England and Wales,2,5km to less than 10km,32,247 Librarians and related professionals,2068
K04000001,England and Wales,2,5km to less than 10km,33,248 Quality and regulatory professionals,8876
K04000001,England and Wales,2,5km to less than 10km,34,249 Media professionals,4646
K04000001,England and Wales,2,5km to less than 10km,35,"311 Science, engineering and production technicians",35708
K04000001,England and Wales,2,5km to less than 10km,36,"312 CAD, drawing and architectural technicians",3546
K04000001,England and Wales,2,5km to less than 10km,37,313 Information technology technicians,15143
K04000001,England and Wales,2,5km to less than 10km,38,321 Health associate professionals,15880
K04000001,England and Wales,2,5km to less than 10km,39,322 Welfare and housing associate professionals,24359
K04000001,England and Wales,2,5km to less than 10km,40,323 Teaching and childcare associate professionals,37801
K04000001,England and Wales,2,5km to less than 10km,41,324 Veterinary nurses,3726
K04000001,England and Wales,2,5km to less than 10km,42,331 Protective service occupations,42998
K04000001,England and Wales,2,5km to less than 10km,43,"341 Artistic, literary and media occupations",12986
K04000001,England and Wales,2,5km to less than 10km,44,342 Design occupations,4524
K04000001,England and Wales,2,5km to less than 10km,45,343 Sports and fitness occupations,15058
K04000001,England and Wales,2,5km to less than 10km,46,351 Transport associate professionals,1697
K04000001,England and Wales,2,5km to less than 10km,47,352 Legal associate professionals,3102
K04000001,England and Wales,2,5km to less than 10km,48,353 Finance associate professionals,11633
K04000001,England and Wales,2,5km to less than 10km,49,354 Business associate professionals,14908
K04000001,England and Wales,2,5km to less than 10km,50,"355 Sales, marketing and related associate professionals",49697
K04000001,England and Wales,2,5km to less than 10km,51,356 Public services associate professionals,4484
K04000001,England and Wales,2,5km to less than 10km,52,"357 HR, training and other vocational associate guidance professionals",21207
K04000001,England and Wales,2,5km to less than 10km,53,358 Regulatory associate professionals,5506
K04000001,England and Wales,2,5km to less than 10km,54,411 Administrative occupations: Government and related organisations,19655
K04000001,England and Wales,2,5km to less than 10km,55,412 Administrative occupations: Finance,51496
K04000001,England and Wales,2,5km to less than 10km,56,413 Administrative occupations: Records,45518
K04000001,England and Wales,2,5km to less than 10km,57,414 Administrative occupations: Office managers and supervisors,28868
K04000001,England and Wales,2,5km to less than 10km,58,415 Other administrative occupations,85814
K04000001,England and Wales,2,5km to less than 10km,59,421 Secretarial and related occupations,82744
K04000001,England and Wales,2,5km to less than 10km,60,511 Agricultural and related trades,17338
K04000001,England and Wales,2,5km to less than 10km,61,"521 Metal forming, welding and related trades",14145
K04000001,England and Wales,2,5km to less than 10km,62,"522 Metal machining, fitting and instrument making trades",39235
K04000001,England and Wales,2,5km to less than 10km,63,523 Vehicle trades,38407
K04000001,England and Wales,2,5km to less than 10km,64,524 Electrical and electronic trades,19706
K04000001,England and Wales,2,5km to less than 10km,65,"525 Skilled metal, electrical and electronic trades supervisors",6429
K04000001,England and Wales,2,5km to less than 10km,66,531 Construction and building trades,31718
K04000001,England and Wales,2,5km to less than 10km,67,532 Building finishing trades,6487
K04000001,England and Wales,2,5km to less than 10km,68,533 Construction and building trades supervisors,4698
K04000001,England and Wales,2,5km to less than 10km,69,541 Textiles and garments trades,5619
K04000001,England and Wales,2,5km to less than 10km,70,542 Printing trades,4818
K04000001,England and Wales,2,5km to less than 10km,71,543 Food preparation and hospitality trades,71327
K04000001,England and Wales,2,5km to less than 10km,72,544 Other skilled trades,9637
K04000001,England and Wales,2,5km to less than 10km,73,611 Teaching and childcare support occupations,89471
K04000001,England and Wales,2,5km to less than 10km,74,612 Animal care and control services,8453
K04000001,England and Wales,2,5km to less than 10km,75,613 Caring personal services,223387
K04000001,England and Wales,2,5km to less than 10km,76,621 Leisure and travel services,15073
K04000001,England and Wales,2,5km to less than 10km,77,622 Hairdressers and related services,33901
K04000001,England and Wales,2,5km to less than 10km,78,623 Housekeeping and related services,24677
K04000001,England and Wales,2,5km to less than 10km,79,624 Cleaning and housekeeping managers and supervisors,9604
K04000001,England and Wales,2,5km to less than 10km,80,625 Bed and breakfast and guest house owners and proprietors,183
K04000001,England and Wales,2,5km to less than 10km,81,631 Community and civil enforcement occupations,3813
K04000001,England and Wales,2,5km to less than 10km,82,711 Sales assistants and retail cashiers,230875
K04000001,England and Wales,2,5km to less than 10km,83,712 Sales related occupations,6144
K04000001,England and Wales,2,5km to less than 10km,84,713 Shopkeepers and sales supervisors,40358
K04000001,England and Wales,2,5km to less than 10km,85,721 Customer service occupations,44979
K04000001,England and Wales,2,5km to less than 10km,86,722 Customer service supervisors,2197
K04000001,England and Wales,2,5km to less than 10km,87,811 Process operatives,45839
K04000001,England and Wales,2,5km to less than 10km,88,812 Metal working machine operatives,9085
K04000001,England and Wales,2,5km to less than 10km,89,813 Plant and machine operatives,14270
K04000001,England and Wales,2,5km to less than 10km,90,814 Assemblers and routine operatives,34749
K04000001,England and Wales,2,5km to less than 10km,91,815 Construction operatives,14144
K04000001,England and Wales,2,5km to less than 10km,92,"816 Production, factory and assembly supervisors",10825
K04000001,England and Wales,2,5km to less than 10km,93,821 Road transport drivers,96965
K04000001,England and Wales,2,5km to less than 10km,94,822 Mobile machine drivers and operatives,19132
K04000001,England and Wales,2,5km to less than 10km,95,823 Other drivers and transport operatives,9378
K04000001,England and Wales,2,5km to less than 10km,96,911 Elementary agricultural occupations,7704
K04000001,England and Wales,2,5km to less than 10km,97,912 Elementary construction occupations,11346
