England and Wales Code,England and Wales,Distance travelled to work (8 categories) Code,Distance travelled to work (8 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,31823877
K04000001,England and Wales,-8,Does not apply,1,"1. Managers, directors and senior officials",0
K04000001,England and Wales,-8,Does not apply,2,2. Professional occupations,0
K04000001,England and Wales,-8,Does not apply,3,3. Associate professional and technical occupations,0
K04000001,England and Wales,-8,Does not apply,4,4. Administrative and secretarial occupations,0
K04000001,England and Wales,-8,Does not apply,5,5. Skilled trades occupations,0
K04000001,England and Wales,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
K04000001,England and Wales,-8,Does not apply,7,7. Sales and customer service occupations,0
K04000001,England and Wales,-8,Does not apply,8,"8. Process, plant and machine operatives",0
K04000001,England and Wales,-8,Does not apply,9,9. Elementary occupations,0
K04000001,England and Wales,1,Less than 5km,-8,Does not apply,0
K04000001,England and Wales,1,Less than 5km,1,"1. Managers, directors and senior officials",553431
K04000001,England and Wales,1,Less than 5km,2,2. Professional occupations,886330
K04000001,England and Wales,1,Less than 5km,3,3. Associate professional and technical occupations,552511
K04000001,England and Wales,1,Less than 5km,4,4. Administrative and secretarial occupations,594683
K04000001,England and Wales,1,Less than 5km,5,5. Skilled trades occupations,470776
K04000001,England and Wales,1,Less than 5km,6,"6. Caring, leisure and other service occupations",988434
K04000001,England and Wales,1,Less than 5km,7,7. Sales and customer service occupations,885381
K04000001,England and Wales,1,Less than 5km,8,"8. Process, plant and machine operatives",445666
K04000001,England and Wales,1,Less than 5km,9,9. Elementary occupations,1180034
K04000001,England and Wales,2,5km to less than 10km,-8,Does not apply,0
K04000001,England and Wales,2,5km to less than 10km,1,"1. Managers, directors and senior officials",327822
K04000001,England and Wales,2,5km to less than 10km,2,2. Professional occupations,572701
K04000001,England and Wales,2,5km to less than 10km,3,3. Associate professional and technical occupations,323963
K04000001,England and Wales,2,5km to less than 10km,4,4. Administrative and secretarial occupations,314094
K04000001,England and Wales,2,5km to less than 10km,5,5. Skilled trades occupations,269564
K04000001,England and Wales,2,5km to less than 10km,6,"6. Caring, leisure and other service occupations",408562
K04000001,England and Wales,2,5km to less than 10km,7,7. Sales and customer service occupations,324553
K04000001,England and Wales,2,5km to less than 10km,8,"8. Process, plant and machine operatives",254387
K04000001,England and Wales,2,5km to less than 10km,9,9. Elementary occupations,478281
K04000001,England and Wales,3,10km to less than 30km,-8,Does not apply,0
K04000001,England and Wales,3,10km to less than 30km,1,"1. Managers, directors and senior officials",482762
K04000001,England and Wales,3,10km to less than 30km,2,2. Professional occupations,865267
K04000001,England and Wales,3,10km to less than 30km,3,3. Associate professional and technical occupations,469277
K04000001,England and Wales,3,10km to less than 30km,4,4. Administrative and secretarial occupations,334582
K04000001,England and Wales,3,10km to less than 30km,5,5. Skilled trades occupations,370201
K04000001,England and Wales,3,10km to less than 30km,6,"6. Caring, leisure and other service occupations",404240
K04000001,England and Wales,3,10km to less than 30km,7,7. Sales and customer service occupations,309576
K04000001,England and Wales,3,10km to less than 30km,8,"8. Process, plant and machine operatives",337111
K04000001,England and Wales,3,10km to less than 30km,9,9. Elementary occupations,478902
K04000001,England and Wales,4,30km to less than 60km,-8,Does not apply,0
K04000001,England and Wales,4,30km to less than 60km,1,"1. Managers, directors and senior officials",130846
K04000001,England and Wales,4,30km to less than 60km,2,2. Professional occupations,200406
K04000001,England and Wales,4,30km to less than 60km,3,3. Associate professional and technical occupations,115068
K04000001,England and Wales,4,30km to less than 60km,4,4. Administrative and secretarial occupations,47131
K04000001,England and Wales,4,30km to less than 60km,5,5. Skilled trades occupations,80883
K04000001,England and Wales,4,30km to less than 60km,6,"6. Caring, leisure and other service occupations",60845
K04000001,England and Wales,4,30km to less than 60km,7,7. Sales and customer service occupations,46926
K04000001,England and Wales,4,30km to less than 60km,8,"8. Process, plant and machine operatives",67181
K04000001,England and Wales,4,30km to less than 60km,9,9. Elementary occupations,80001
K04000001,England and Wales,5,60km and over,-8,Does not apply,0
K04000001,England and Wales,5,60km and over,1,"1. Managers, directors and senior officials",59683
K04000001,England and Wales,5,60km and over,2,2. Professional occupations,73768
K04000001,England and Wales,5,60km and over,3,3. Associate professional and technical occupations,68525
K04000001,England and Wales,5,60km and over,4,4. Administrative and secretarial occupations,17210
K04000001,England and Wales,5,60km and over,5,5. Skilled trades occupations,39972
K04000001,England and Wales,5,60km and over,6,"6. Caring, leisure and other service occupations",29327
K04000001,England and Wales,5,60km and over,7,7. Sales and customer service occupations,22613
K04000001,England and Wales,5,60km and over,8,"8. Process, plant and machine operatives",27455
K04000001,England and Wales,5,60km and over,9,9. Elementary occupations,44059
K04000001,England and Wales,6,Works mainly from home,-8,Does not apply,0
K04000001,England and Wales,6,Works mainly from home,1,"1. Managers, directors and senior officials",1662237
K04000001,England and Wales,6,Works mainly from home,2,2. Professional occupations,2739582
K04000001,England and Wales,6,Works mainly from home,3,3. Associate professional and technical occupations,1827550
K04000001,England and Wales,6,Works mainly from home,4,4. Administrative and secretarial occupations,1188992
K04000001,England and Wales,6,Works mainly from home,5,5. Skilled trades occupations,253050
K04000001,England and Wales,6,Works mainly from home,6,"6. Caring, leisure and other service occupations",297928
K04000001,England and Wales,6,Works mainly from home,7,7. Sales and customer service occupations,403434
K04000001,England and Wales,6,Works mainly from home,8,"8. Process, plant and machine operatives",148168
K04000001,England and Wales,6,Works mainly from home,9,9. Elementary occupations,150781
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",-8,Does not apply,0
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1,"1. Managers, directors and senior officials",331073
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",2,2. Professional occupations,268061
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",3,3. Associate professional and technical occupations,304132
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",4,4. Administrative and secretarial occupations,77991
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",5,5. Skilled trades occupations,1365306
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",6,"6. Caring, leisure and other service occupations",410841
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",7,7. Sales and customer service occupations,94629
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",8,"8. Process, plant and machine operatives",660173
K04000001,England and Wales,7,"Works mainly at an offshore installation, in no fixed place, or outside the UK",9,9. Elementary occupations,494753
