England and Wales Code,England and Wales,Occupation (current) (105 categories) Code,Occupation (current) (105 categories),Hours worked (5 categories) Code,Hours worked (5 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,31823877
K04000001,England and Wales,-8,Does not apply,1,Part-time: 15 hours or less worked,0
K04000001,England and Wales,-8,Does not apply,2,Part-time: 16 to 30 hours worked,0
K04000001,England and Wales,-8,Does not apply,3,Full-time: 31 to 48 hours worked,0
K04000001,England and Wales,-8,Does not apply,4,Full-time: 49 or more hours worked,0
K04000001,England and Wales,1,111 Chief executives and senior officials,-8,Does not apply,0
K04000001,England and Wales,1,111 Chief executives and senior officials,1,Part-time: 15 hours or less worked,9302
K04000001,England and Wales,1,111 Chief executives and senior officials,2,Part-time: 16 to 30 hours worked,11529
K04000001,England and Wales,1,111 Chief executives and senior officials,3,Full-time: 31 to 48 hours worked,56875
K04000001,England and Wales,1,111 Chief executives and senior officials,4,Full-time: 49 or more hours worked,51630
K04000001,England and Wales,2,112 Production managers and directors,-8,Does not apply,0
K04000001,England and Wales,2,112 Production managers and directors,1,Part-time: 15 hours or less worked,36740
K04000001,England and Wales,2,112 Production managers and directors,2,Part-time: 16 to 30 hours worked,45156
K04000001,England and Wales,2,112 Production managers and directors,3,Full-time: 31 to 48 hours worked,353526
K04000001,England and Wales,2,112 Production managers and directors,4,Full-time: 49 or more hours worked,165176
K04000001,England and Wales,3,113 Functional managers and directors,-8,Does not apply,0
K04000001,England and Wales,3,113 Functional managers and directors,1,Part-time: 15 hours or less worked,49583
K04000001,England and Wales,3,113 Functional managers and directors,2,Part-time: 16 to 30 hours worked,85329
K04000001,England and Wales,3,113 Functional managers and directors,3,Full-time: 31 to 48 hours worked,629979
K04000001,England and Wales,3,113 Functional managers and directors,4,Full-time: 49 or more hours worked,217907
K04000001,England and Wales,4,"114 Directors in logistics, warehousing and transport",-8,Does not apply,0
K04000001,England and Wales,4,"114 Directors in logistics, warehousing and transport",1,Part-time: 15 hours or less worked,1352
K04000001,England and Wales,4,"114 Directors in logistics, warehousing and transport",2,Part-time: 16 to 30 hours worked,1582
K04000001,England and Wales,4,"114 Directors in logistics, warehousing and transport",3,Full-time: 31 to 48 hours worked,6117
K04000001,England and Wales,4,"114 Directors in logistics, warehousing and transport",4,Full-time: 49 or more hours worked,5988
K04000001,England and Wales,5,115 Managers and directors in retail and wholesale,-8,Does not apply,0
K04000001,England and Wales,5,115 Managers and directors in retail and wholesale,1,Part-time: 15 hours or less worked,32846
K04000001,England and Wales,5,115 Managers and directors in retail and wholesale,2,Part-time: 16 to 30 hours worked,54121
K04000001,England and Wales,5,115 Managers and directors in retail and wholesale,3,Full-time: 31 to 48 hours worked,287928
K04000001,England and Wales,5,115 Managers and directors in retail and wholesale,4,Full-time: 49 or more hours worked,88068
K04000001,England and Wales,6,116 Senior officers in protective services,-8,Does not apply,0
K04000001,England and Wales,6,116 Senior officers in protective services,1,Part-time: 15 hours or less worked,1264
K04000001,England and Wales,6,116 Senior officers in protective services,2,Part-time: 16 to 30 hours worked,1457
K04000001,England and Wales,6,116 Senior officers in protective services,3,Full-time: 31 to 48 hours worked,27734
K04000001,England and Wales,6,116 Senior officers in protective services,4,Full-time: 49 or more hours worked,13799
K04000001,England and Wales,7,117 Health and social services managers and directors,-8,Does not apply,0
K04000001,England and Wales,7,117 Health and social services managers and directors,1,Part-time: 15 hours or less worked,5453
K04000001,England and Wales,7,117 Health and social services managers and directors,2,Part-time: 16 to 30 hours worked,14938
K04000001,England and Wales,7,117 Health and social services managers and directors,3,Full-time: 31 to 48 hours worked,84649
K04000001,England and Wales,7,117 Health and social services managers and directors,4,Full-time: 49 or more hours worked,16141
K04000001,England and Wales,8,121 Managers and proprietors in agriculture related services,-8,Does not apply,0
K04000001,England and Wales,8,121 Managers and proprietors in agriculture related services,1,Part-time: 15 hours or less worked,5354
K04000001,England and Wales,8,121 Managers and proprietors in agriculture related services,2,Part-time: 16 to 30 hours worked,6350
K04000001,England and Wales,8,121 Managers and proprietors in agriculture related services,3,Full-time: 31 to 48 hours worked,20176
K04000001,England and Wales,8,121 Managers and proprietors in agriculture related services,4,Full-time: 49 or more hours worked,19926
K04000001,England and Wales,9,122 Managers and proprietors in hospitality and leisure services,-8,Does not apply,0
K04000001,England and Wales,9,122 Managers and proprietors in hospitality and leisure services,1,Part-time: 15 hours or less worked,41993
K04000001,England and Wales,9,122 Managers and proprietors in hospitality and leisure services,2,Part-time: 16 to 30 hours worked,44623
K04000001,England and Wales,9,122 Managers and proprietors in hospitality and leisure services,3,Full-time: 31 to 48 hours worked,146737
K04000001,England and Wales,9,122 Managers and proprietors in hospitality and leisure services,4,Full-time: 49 or more hours worked,68204
K04000001,England and Wales,10,123 Managers and proprietors in health and care services,-8,Does not apply,0
K04000001,England and Wales,10,123 Managers and proprietors in health and care services,1,Part-time: 15 hours or less worked,3164
K04000001,England and Wales,10,123 Managers and proprietors in health and care services,2,Part-time: 16 to 30 hours worked,10926
K04000001,England and Wales,10,123 Managers and proprietors in health and care services,3,Full-time: 31 to 48 hours worked,56424
K04000001,England and Wales,10,123 Managers and proprietors in health and care services,4,Full-time: 49 or more hours worked,12306
K04000001,England and Wales,11,"124 Managers in logistics, warehousing and transport",-8,Does not apply,0
K04000001,England and Wales,11,"124 Managers in logistics, warehousing and transport",1,Part-time: 15 hours or less worked,6505
K04000001,England and Wales,11,"124 Managers in logistics, warehousing and transport",2,Part-time: 16 to 30 hours worked,11083
K04000001,England and Wales,11,"124 Managers in logistics, warehousing and transport",3,Full-time: 31 to 48 hours worked,115775
K04000001,England and Wales,11,"124 Managers in logistics, warehousing and transport",4,Full-time: 49 or more hours worked,36604
K04000001,England and Wales,12,125 Managers and proprietors in other services,-8,Does not apply,0
K04000001,England and Wales,12,125 Managers and proprietors in other services,1,Part-time: 15 hours or less worked,81629
K04000001,England and Wales,12,125 Managers and proprietors in other services,2,Part-time: 16 to 30 hours worked,84950
K04000001,England and Wales,12,125 Managers and proprietors in other services,3,Full-time: 31 to 48 hours worked,305229
K04000001,England and Wales,12,125 Managers and proprietors in other services,4,Full-time: 49 or more hours worked,113728
K04000001,England and Wales,13,211 Natural and social science professionals,-8,Does not apply,0
K04000001,England and Wales,13,211 Natural and social science professionals,1,Part-time: 15 hours or less worked,3860
K04000001,England and Wales,13,211 Natural and social science professionals,2,Part-time: 16 to 30 hours worked,10791
K04000001,England and Wales,13,211 Natural and social science professionals,3,Full-time: 31 to 48 hours worked,75792
K04000001,England and Wales,13,211 Natural and social science professionals,4,Full-time: 49 or more hours worked,7276
K04000001,England and Wales,14,212 Engineering professionals,-8,Does not apply,0
K04000001,England and Wales,14,212 Engineering professionals,1,Part-time: 15 hours or less worked,12413
K04000001,England and Wales,14,212 Engineering professionals,2,Part-time: 16 to 30 hours worked,19157
K04000001,England and Wales,14,212 Engineering professionals,3,Full-time: 31 to 48 hours worked,309191
K04000001,England and Wales,14,212 Engineering professionals,4,Full-time: 49 or more hours worked,42285
K04000001,England and Wales,15,213 Information technology professionals,-8,Does not apply,0
K04000001,England and Wales,15,213 Information technology professionals,1,Part-time: 15 hours or less worked,16904
K04000001,England and Wales,15,213 Information technology professionals,2,Part-time: 16 to 30 hours worked,31348
K04000001,England and Wales,15,213 Information technology professionals,3,Full-time: 31 to 48 hours worked,585417
K04000001,England and Wales,15,213 Information technology professionals,4,Full-time: 49 or more hours worked,57001
K04000001,England and Wales,16,214 Web and multimedia design professionals,-8,Does not apply,0
K04000001,England and Wales,16,214 Web and multimedia design professionals,1,Part-time: 15 hours or less worked,9796
K04000001,England and Wales,16,214 Web and multimedia design professionals,2,Part-time: 16 to 30 hours worked,13799
K04000001,England and Wales,16,214 Web and multimedia design professionals,3,Full-time: 31 to 48 hours worked,66142
K04000001,England and Wales,16,214 Web and multimedia design professionals,4,Full-time: 49 or more hours worked,6365
K04000001,England and Wales,17,215 Conservation and environment professionals,-8,Does not apply,0
K04000001,England and Wales,17,215 Conservation and environment professionals,1,Part-time: 15 hours or less worked,1499
K04000001,England and Wales,17,215 Conservation and environment professionals,2,Part-time: 16 to 30 hours worked,4649
K04000001,England and Wales,17,215 Conservation and environment professionals,3,Full-time: 31 to 48 hours worked,29858
K04000001,England and Wales,17,215 Conservation and environment professionals,4,Full-time: 49 or more hours worked,2907
K04000001,England and Wales,18,216 Research and development (R&D) and other research professionals,-8,Does not apply,0
K04000001,England and Wales,18,216 Research and development (R&D) and other research professionals,1,Part-time: 15 hours or less worked,2791
K04000001,England and Wales,18,216 Research and development (R&D) and other research professionals,2,Part-time: 16 to 30 hours worked,6928
K04000001,England and Wales,18,216 Research and development (R&D) and other research professionals,3,Full-time: 31 to 48 hours worked,65614
K04000001,England and Wales,18,216 Research and development (R&D) and other research professionals,4,Full-time: 49 or more hours worked,9925
K04000001,England and Wales,19,221 Medical practitioners,-8,Does not apply,0
K04000001,England and Wales,19,221 Medical practitioners,1,Part-time: 15 hours or less worked,9099
K04000001,England and Wales,19,221 Medical practitioners,2,Part-time: 16 to 30 hours worked,31031
K04000001,England and Wales,19,221 Medical practitioners,3,Full-time: 31 to 48 hours worked,140262
K04000001,England and Wales,19,221 Medical practitioners,4,Full-time: 49 or more hours worked,57455
K04000001,England and Wales,20,222 Therapy professionals,-8,Does not apply,0
K04000001,England and Wales,20,222 Therapy professionals,1,Part-time: 15 hours or less worked,19026
K04000001,England and Wales,20,222 Therapy professionals,2,Part-time: 16 to 30 hours worked,51618
K04000001,England and Wales,20,222 Therapy professionals,3,Full-time: 31 to 48 hours worked,94382
K04000001,England and Wales,20,222 Therapy professionals,4,Full-time: 49 or more hours worked,4907
K04000001,England and Wales,21,223 Nursing and midwifery professionals,-8,Does not apply,0
K04000001,England and Wales,21,223 Nursing and midwifery professionals,1,Part-time: 15 hours or less worked,27027
K04000001,England and Wales,21,223 Nursing and midwifery professionals,2,Part-time: 16 to 30 hours worked,153324
K04000001,England and Wales,21,223 Nursing and midwifery professionals,3,Full-time: 31 to 48 hours worked,419050
K04000001,England and Wales,21,223 Nursing and midwifery professionals,4,Full-time: 49 or more hours worked,21778
K04000001,England and Wales,22,224 Veterinarians,-8,Does not apply,0
K04000001,England and Wales,22,224 Veterinarians,1,Part-time: 15 hours or less worked,863
K04000001,England and Wales,22,224 Veterinarians,2,Part-time: 16 to 30 hours worked,3001
K04000001,England and Wales,22,224 Veterinarians,3,Full-time: 31 to 48 hours worked,11459
K04000001,England and Wales,22,224 Veterinarians,4,Full-time: 49 or more hours worked,4293
K04000001,England and Wales,23,225 Other health professionals,-8,Does not apply,0
K04000001,England and Wales,23,225 Other health professionals,1,Part-time: 15 hours or less worked,12948
K04000001,England and Wales,23,225 Other health professionals,2,Part-time: 16 to 30 hours worked,44250
K04000001,England and Wales,23,225 Other health professionals,3,Full-time: 31 to 48 hours worked,138458
K04000001,England and Wales,23,225 Other health professionals,4,Full-time: 49 or more hours worked,12999
K04000001,England and Wales,24,231 Teaching and other educational professionals,-8,Does not apply,0
K04000001,England and Wales,24,231 Teaching and other educational professionals,1,Part-time: 15 hours or less worked,102776
K04000001,England and Wales,24,231 Teaching and other educational professionals,2,Part-time: 16 to 30 hours worked,165729
K04000001,England and Wales,24,231 Teaching and other educational professionals,3,Full-time: 31 to 48 hours worked,484713
K04000001,England and Wales,24,231 Teaching and other educational professionals,4,Full-time: 49 or more hours worked,208848
K04000001,England and Wales,25,232 Other educational professionals,-8,Does not apply,0
K04000001,England and Wales,25,232 Other educational professionals,1,Part-time: 15 hours or less worked,12644
K04000001,England and Wales,25,232 Other educational professionals,2,Part-time: 16 to 30 hours worked,29812
K04000001,England and Wales,25,232 Other educational professionals,3,Full-time: 31 to 48 hours worked,118913
K04000001,England and Wales,25,232 Other educational professionals,4,Full-time: 49 or more hours worked,41521
K04000001,England and Wales,26,241 Legal professionals,-8,Does not apply,0
K04000001,England and Wales,26,241 Legal professionals,1,Part-time: 15 hours or less worked,8707
K04000001,England and Wales,26,241 Legal professionals,2,Part-time: 16 to 30 hours worked,24077
K04000001,England and Wales,26,241 Legal professionals,3,Full-time: 31 to 48 hours worked,133753
K04000001,England and Wales,26,241 Legal professionals,4,Full-time: 49 or more hours worked,58661
K04000001,England and Wales,27,242 Finance professionals,-8,Does not apply,0
K04000001,England and Wales,27,242 Finance professionals,1,Part-time: 15 hours or less worked,16105
K04000001,England and Wales,27,242 Finance professionals,2,Part-time: 16 to 30 hours worked,41561
K04000001,England and Wales,27,242 Finance professionals,3,Full-time: 31 to 48 hours worked,271033
K04000001,England and Wales,27,242 Finance professionals,4,Full-time: 49 or more hours worked,56385
K04000001,England and Wales,28,"243 Business, research and administrative professionals",-8,Does not apply,0
K04000001,England and Wales,28,"243 Business, research and administrative professionals",1,Part-time: 15 hours or less worked,18384
K04000001,England and Wales,28,"243 Business, research and administrative professionals",2,Part-time: 16 to 30 hours worked,33474
K04000001,England and Wales,28,"243 Business, research and administrative professionals",3,Full-time: 31 to 48 hours worked,250244
K04000001,England and Wales,28,"243 Business, research and administrative professionals",4,Full-time: 49 or more hours worked,41049
K04000001,England and Wales,29,244 Business and financial project management professionals,-8,Does not apply,0
K04000001,England and Wales,29,244 Business and financial project management professionals,1,Part-time: 15 hours or less worked,4391
K04000001,England and Wales,29,244 Business and financial project management professionals,2,Part-time: 16 to 30 hours worked,13983
K04000001,England and Wales,29,244 Business and financial project management professionals,3,Full-time: 31 to 48 hours worked,157111
K04000001,England and Wales,29,244 Business and financial project management professionals,4,Full-time: 49 or more hours worked,26432
K04000001,England and Wales,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",-8,Does not apply,0
K04000001,England and Wales,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",1,Part-time: 15 hours or less worked,6785
K04000001,England and Wales,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",2,Part-time: 16 to 30 hours worked,12502
K04000001,England and Wales,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",3,Full-time: 31 to 48 hours worked,132758
K04000001,England and Wales,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",4,Full-time: 49 or more hours worked,36119
K04000001,England and Wales,31,246 Welfare professionals,-8,Does not apply,0
K04000001,England and Wales,31,246 Welfare professionals,1,Part-time: 15 hours or less worked,7913
K04000001,England and Wales,31,246 Welfare professionals,2,Part-time: 16 to 30 hours worked,27403
K04000001,England and Wales,31,246 Welfare professionals,3,Full-time: 31 to 48 hours worked,101356
K04000001,England and Wales,31,246 Welfare professionals,4,Full-time: 49 or more hours worked,15728
K04000001,England and Wales,32,247 Librarians and related professionals,-8,Does not apply,0
K04000001,England and Wales,32,247 Librarians and related professionals,1,Part-time: 15 hours or less worked,2185
K04000001,England and Wales,32,247 Librarians and related professionals,2,Part-time: 16 to 30 hours worked,5469
K04000001,England and Wales,32,247 Librarians and related professionals,3,Full-time: 31 to 48 hours worked,11356
K04000001,England and Wales,32,247 Librarians and related professionals,4,Full-time: 49 or more hours worked,535
K04000001,England and Wales,33,248 Quality and regulatory professionals,-8,Does not apply,0
K04000001,England and Wales,33,248 Quality and regulatory professionals,1,Part-time: 15 hours or less worked,2746
K04000001,England and Wales,33,248 Quality and regulatory professionals,2,Part-time: 16 to 30 hours worked,10471
K04000001,England and Wales,33,248 Quality and regulatory professionals,3,Full-time: 31 to 48 hours worked,106227
K04000001,England and Wales,33,248 Quality and regulatory professionals,4,Full-time: 49 or more hours worked,11560
K04000001,England and Wales,34,249 Media professionals,-8,Does not apply,0
K04000001,England and Wales,34,249 Media professionals,1,Part-time: 15 hours or less worked,11663
K04000001,England and Wales,34,249 Media professionals,2,Part-time: 16 to 30 hours worked,19513
K04000001,England and Wales,34,249 Media professionals,3,Full-time: 31 to 48 hours worked,98130
K04000001,England and Wales,34,249 Media professionals,4,Full-time: 49 or more hours worked,16447
K04000001,England and Wales,35,"311 Science, engineering and production technicians",-8,Does not apply,0
K04000001,England and Wales,35,"311 Science, engineering and production technicians",1,Part-time: 15 hours or less worked,8586
K04000001,England and Wales,35,"311 Science, engineering and production technicians",2,Part-time: 16 to 30 hours worked,22651
K04000001,England and Wales,35,"311 Science, engineering and production technicians",3,Full-time: 31 to 48 hours worked,197958
K04000001,England and Wales,35,"311 Science, engineering and production technicians",4,Full-time: 49 or more hours worked,17042
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",-8,Does not apply,0
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",1,Part-time: 15 hours or less worked,3211
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",2,Part-time: 16 to 30 hours worked,5101
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",3,Full-time: 31 to 48 hours worked,43581
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",4,Full-time: 49 or more hours worked,5530
K04000001,England and Wales,37,313 Information technology technicians,-8,Does not apply,0
K04000001,England and Wales,37,313 Information technology technicians,1,Part-time: 15 hours or less worked,8007
K04000001,England and Wales,37,313 Information technology technicians,2,Part-time: 16 to 30 hours worked,19114
K04000001,England and Wales,37,313 Information technology technicians,3,Full-time: 31 to 48 hours worked,175717
K04000001,England and Wales,37,313 Information technology technicians,4,Full-time: 49 or more hours worked,9292
K04000001,England and Wales,38,321 Health associate professionals,-8,Does not apply,0
K04000001,England and Wales,38,321 Health associate professionals,1,Part-time: 15 hours or less worked,18269
K04000001,England and Wales,38,321 Health associate professionals,2,Part-time: 16 to 30 hours worked,29170
K04000001,England and Wales,38,321 Health associate professionals,3,Full-time: 31 to 48 hours worked,56117
K04000001,England and Wales,38,321 Health associate professionals,4,Full-time: 49 or more hours worked,3369
K04000001,England and Wales,39,322 Welfare and housing associate professionals,-8,Does not apply,0
K04000001,England and Wales,39,322 Welfare and housing associate professionals,1,Part-time: 15 hours or less worked,22633
K04000001,England and Wales,39,322 Welfare and housing associate professionals,2,Part-time: 16 to 30 hours worked,65787
K04000001,England and Wales,39,322 Welfare and housing associate professionals,3,Full-time: 31 to 48 hours worked,153608
K04000001,England and Wales,39,322 Welfare and housing associate professionals,4,Full-time: 49 or more hours worked,5152
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,-8,Does not apply,0
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,1,Part-time: 15 hours or less worked,14784
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,2,Part-time: 16 to 30 hours worked,81764
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,3,Full-time: 31 to 48 hours worked,105789
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,4,Full-time: 49 or more hours worked,2417
K04000001,England and Wales,41,324 Veterinary nurses,-8,Does not apply,0
K04000001,England and Wales,41,324 Veterinary nurses,1,Part-time: 15 hours or less worked,815
K04000001,England and Wales,41,324 Veterinary nurses,2,Part-time: 16 to 30 hours worked,4177
K04000001,England and Wales,41,324 Veterinary nurses,3,Full-time: 31 to 48 hours worked,13103
K04000001,England and Wales,41,324 Veterinary nurses,4,Full-time: 49 or more hours worked,591
K04000001,England and Wales,42,331 Protective service occupations,-8,Does not apply,0
K04000001,England and Wales,42,331 Protective service occupations,1,Part-time: 15 hours or less worked,5416
K04000001,England and Wales,42,331 Protective service occupations,2,Part-time: 16 to 30 hours worked,19367
K04000001,England and Wales,42,331 Protective service occupations,3,Full-time: 31 to 48 hours worked,266779
K04000001,England and Wales,42,331 Protective service occupations,4,Full-time: 49 or more hours worked,60959
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",-8,Does not apply,0
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",1,Part-time: 15 hours or less worked,83916
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",2,Part-time: 16 to 30 hours worked,77035
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",3,Full-time: 31 to 48 hours worked,142368
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",4,Full-time: 49 or more hours worked,39583
K04000001,England and Wales,44,342 Design occupations,-8,Does not apply,0
K04000001,England and Wales,44,342 Design occupations,1,Part-time: 15 hours or less worked,8785
K04000001,England and Wales,44,342 Design occupations,2,Part-time: 16 to 30 hours worked,12275
K04000001,England and Wales,44,342 Design occupations,3,Full-time: 31 to 48 hours worked,42108
K04000001,England and Wales,44,342 Design occupations,4,Full-time: 49 or more hours worked,7141
K04000001,England and Wales,45,343 Sports and fitness occupations,-8,Does not apply,0
K04000001,England and Wales,45,343 Sports and fitness occupations,1,Part-time: 15 hours or less worked,47623
K04000001,England and Wales,45,343 Sports and fitness occupations,2,Part-time: 16 to 30 hours worked,38963
K04000001,England and Wales,45,343 Sports and fitness occupations,3,Full-time: 31 to 48 hours worked,45327
K04000001,England and Wales,45,343 Sports and fitness occupations,4,Full-time: 49 or more hours worked,8090
K04000001,England and Wales,46,351 Transport associate professionals,-8,Does not apply,0
K04000001,England and Wales,46,351 Transport associate professionals,1,Part-time: 15 hours or less worked,4865
K04000001,England and Wales,46,351 Transport associate professionals,2,Part-time: 16 to 30 hours worked,3226
K04000001,England and Wales,46,351 Transport associate professionals,3,Full-time: 31 to 48 hours worked,12795
K04000001,England and Wales,46,351 Transport associate professionals,4,Full-time: 49 or more hours worked,6232
K04000001,England and Wales,47,352 Legal associate professionals,-8,Does not apply,0
K04000001,England and Wales,47,352 Legal associate professionals,1,Part-time: 15 hours or less worked,2202
K04000001,England and Wales,47,352 Legal associate professionals,2,Part-time: 16 to 30 hours worked,6427
K04000001,England and Wales,47,352 Legal associate professionals,3,Full-time: 31 to 48 hours worked,31987
K04000001,England and Wales,47,352 Legal associate professionals,4,Full-time: 49 or more hours worked,3351
K04000001,England and Wales,48,353 Finance associate professionals,-8,Does not apply,0
K04000001,England and Wales,48,353 Finance associate professionals,1,Part-time: 15 hours or less worked,6302
K04000001,England and Wales,48,353 Finance associate professionals,2,Part-time: 16 to 30 hours worked,21582
K04000001,England and Wales,48,353 Finance associate professionals,3,Full-time: 31 to 48 hours worked,132324
K04000001,England and Wales,48,353 Finance associate professionals,4,Full-time: 49 or more hours worked,29238
K04000001,England and Wales,49,354 Business associate professionals,-8,Does not apply,0
K04000001,England and Wales,49,354 Business associate professionals,1,Part-time: 15 hours or less worked,8967
K04000001,England and Wales,49,354 Business associate professionals,2,Part-time: 16 to 30 hours worked,32528
K04000001,England and Wales,49,354 Business associate professionals,3,Full-time: 31 to 48 hours worked,206352
K04000001,England and Wales,49,354 Business associate professionals,4,Full-time: 49 or more hours worked,17031
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",-8,Does not apply,0
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",1,Part-time: 15 hours or less worked,44843
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",2,Part-time: 16 to 30 hours worked,79323
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",3,Full-time: 31 to 48 hours worked,528346
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",4,Full-time: 49 or more hours worked,75276
K04000001,England and Wales,51,356 Public services associate professionals,-8,Does not apply,0
K04000001,England and Wales,51,356 Public services associate professionals,1,Part-time: 15 hours or less worked,1600
K04000001,England and Wales,51,356 Public services associate professionals,2,Part-time: 16 to 30 hours worked,8869
K04000001,England and Wales,51,356 Public services associate professionals,3,Full-time: 31 to 48 hours worked,30841
