England and Wales Code,England and Wales,Occupation (current) (105 categories) Code,Occupation (current) (105 categories),Hours worked (5 categories) Code,Hours worked (5 categories),Observation
K04000001,England and Wales,51,356 Public services associate professionals,4,Full-time: 49 or more hours worked,1281
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",-8,Does not apply,0
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",1,Part-time: 15 hours or less worked,17211
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",2,Part-time: 16 to 30 hours worked,44442
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",3,Full-time: 31 to 48 hours worked,214957
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",4,Full-time: 49 or more hours worked,17884
K04000001,England and Wales,53,358 Regulatory associate professionals,-8,Does not apply,0
K04000001,England and Wales,53,358 Regulatory associate professionals,1,Part-time: 15 hours or less worked,2976
K04000001,England and Wales,53,358 Regulatory associate professionals,2,Part-time: 16 to 30 hours worked,6931
K04000001,England and Wales,53,358 Regulatory associate professionals,3,Full-time: 31 to 48 hours worked,54784
K04000001,England and Wales,53,358 Regulatory associate professionals,4,Full-time: 49 or more hours worked,6984
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,-8,Does not apply,0
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,1,Part-time: 15 hours or less worked,9723
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,2,Part-time: 16 to 30 hours worked,57390
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,3,Full-time: 31 to 48 hours worked,199784
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,4,Full-time: 49 or more hours worked,8853
K04000001,England and Wales,55,412 Administrative occupations: Finance,-8,Does not apply,0
K04000001,England and Wales,55,412 Administrative occupations: Finance,1,Part-time: 15 hours or less worked,48988
K04000001,England and Wales,55,412 Administrative occupations: Finance,2,Part-time: 16 to 30 hours worked,128606
K04000001,England and Wales,55,412 Administrative occupations: Finance,3,Full-time: 31 to 48 hours worked,308526
K04000001,England and Wales,55,412 Administrative occupations: Finance,4,Full-time: 49 or more hours worked,16101
K04000001,England and Wales,56,413 Administrative occupations: Records,-8,Does not apply,0
K04000001,England and Wales,56,413 Administrative occupations: Records,1,Part-time: 15 hours or less worked,20194
K04000001,England and Wales,56,413 Administrative occupations: Records,2,Part-time: 16 to 30 hours worked,65281
K04000001,England and Wales,56,413 Administrative occupations: Records,3,Full-time: 31 to 48 hours worked,235240
K04000001,England and Wales,56,413 Administrative occupations: Records,4,Full-time: 49 or more hours worked,13666
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,-8,Does not apply,0
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,1,Part-time: 15 hours or less worked,12743
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,2,Part-time: 16 to 30 hours worked,40691
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,3,Full-time: 31 to 48 hours worked,165187
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,4,Full-time: 49 or more hours worked,13918
K04000001,England and Wales,58,415 Other administrative occupations,-8,Does not apply,0
K04000001,England and Wales,58,415 Other administrative occupations,1,Part-time: 15 hours or less worked,95073
K04000001,England and Wales,58,415 Other administrative occupations,2,Part-time: 16 to 30 hours worked,192326
K04000001,England and Wales,58,415 Other administrative occupations,3,Full-time: 31 to 48 hours worked,363529
K04000001,England and Wales,58,415 Other administrative occupations,4,Full-time: 49 or more hours worked,14726
K04000001,England and Wales,59,421 Secretarial and related occupations,-8,Does not apply,0
K04000001,England and Wales,59,421 Secretarial and related occupations,1,Part-time: 15 hours or less worked,86052
K04000001,England and Wales,59,421 Secretarial and related occupations,2,Part-time: 16 to 30 hours worked,197686
K04000001,England and Wales,59,421 Secretarial and related occupations,3,Full-time: 31 to 48 hours worked,267005
K04000001,England and Wales,59,421 Secretarial and related occupations,4,Full-time: 49 or more hours worked,13393
K04000001,England and Wales,60,511 Agricultural and related trades,-8,Does not apply,0
K04000001,England and Wales,60,511 Agricultural and related trades,1,Part-time: 15 hours or less worked,31524
K04000001,England and Wales,60,511 Agricultural and related trades,2,Part-time: 16 to 30 hours worked,51976
K04000001,England and Wales,60,511 Agricultural and related trades,3,Full-time: 31 to 48 hours worked,141940
K04000001,England and Wales,60,511 Agricultural and related trades,4,Full-time: 49 or more hours worked,71898
K04000001,England and Wales,61,"521 Metal forming, welding and related trades",-8,Does not apply,0
K04000001,England and Wales,61,"521 Metal forming, welding and related trades",1,Part-time: 15 hours or less worked,2138
K04000001,England and Wales,61,"521 Metal forming, welding and related trades",2,Part-time: 16 to 30 hours worked,4117
K04000001,England and Wales,61,"521 Metal forming, welding and related trades",3,Full-time: 31 to 48 hours worked,64414
K04000001,England and Wales,61,"521 Metal forming, welding and related trades",4,Full-time: 49 or more hours worked,12996
K04000001,England and Wales,62,"522 Metal machining, fitting and instrument making trades",-8,Does not apply,0
K04000001,England and Wales,62,"522 Metal machining, fitting and instrument making trades",1,Part-time: 15 hours or less worked,7531
K04000001,England and Wales,62,"522 Metal machining, fitting and instrument making trades",2,Part-time: 16 to 30 hours worked,13357
K04000001,England and Wales,62,"522 Metal machining, fitting and instrument making trades",3,Full-time: 31 to 48 hours worked,199709
K04000001,England and Wales,62,"522 Metal machining, fitting and instrument making trades",4,Full-time: 49 or more hours worked,32650
K04000001,England and Wales,63,523 Vehicle trades,-8,Does not apply,0
K04000001,England and Wales,63,523 Vehicle trades,1,Part-time: 15 hours or less worked,8238
K04000001,England and Wales,63,523 Vehicle trades,2,Part-time: 16 to 30 hours worked,17541
K04000001,England and Wales,63,523 Vehicle trades,3,Full-time: 31 to 48 hours worked,164201
K04000001,England and Wales,63,523 Vehicle trades,4,Full-time: 49 or more hours worked,30483
K04000001,England and Wales,64,524 Electrical and electronic trades,-8,Does not apply,0
K04000001,England and Wales,64,524 Electrical and electronic trades,1,Part-time: 15 hours or less worked,13556
K04000001,England and Wales,64,524 Electrical and electronic trades,2,Part-time: 16 to 30 hours worked,20410
K04000001,England and Wales,64,524 Electrical and electronic trades,3,Full-time: 31 to 48 hours worked,268683
K04000001,England and Wales,64,524 Electrical and electronic trades,4,Full-time: 49 or more hours worked,50095
K04000001,England and Wales,65,"525 Skilled metal, electrical and electronic trades supervisors",-8,Does not apply,0
K04000001,England and Wales,65,"525 Skilled metal, electrical and electronic trades supervisors",1,Part-time: 15 hours or less worked,557
K04000001,England and Wales,65,"525 Skilled metal, electrical and electronic trades supervisors",2,Part-time: 16 to 30 hours worked,958
K04000001,England and Wales,65,"525 Skilled metal, electrical and electronic trades supervisors",3,Full-time: 31 to 48 hours worked,29059
K04000001,England and Wales,65,"525 Skilled metal, electrical and electronic trades supervisors",4,Full-time: 49 or more hours worked,7680
K04000001,England and Wales,66,531 Construction and building trades,-8,Does not apply,0
K04000001,England and Wales,66,531 Construction and building trades,1,Part-time: 15 hours or less worked,44452
K04000001,England and Wales,66,531 Construction and building trades,2,Part-time: 16 to 30 hours worked,76874
K04000001,England and Wales,66,531 Construction and building trades,3,Full-time: 31 to 48 hours worked,543857
K04000001,England and Wales,66,531 Construction and building trades,4,Full-time: 49 or more hours worked,103015
K04000001,England and Wales,67,532 Building finishing trades,-8,Does not apply,0
K04000001,England and Wales,67,532 Building finishing trades,1,Part-time: 15 hours or less worked,19958
K04000001,England and Wales,67,532 Building finishing trades,2,Part-time: 16 to 30 hours worked,34066
K04000001,England and Wales,67,532 Building finishing trades,3,Full-time: 31 to 48 hours worked,153124
K04000001,England and Wales,67,532 Building finishing trades,4,Full-time: 49 or more hours worked,20368
K04000001,England and Wales,68,533 Construction and building trades supervisors,-8,Does not apply,0
K04000001,England and Wales,68,533 Construction and building trades supervisors,1,Part-time: 15 hours or less worked,1036
K04000001,England and Wales,68,533 Construction and building trades supervisors,2,Part-time: 16 to 30 hours worked,1680
K04000001,England and Wales,68,533 Construction and building trades supervisors,3,Full-time: 31 to 48 hours worked,38430
K04000001,England and Wales,68,533 Construction and building trades supervisors,4,Full-time: 49 or more hours worked,14649
K04000001,England and Wales,69,541 Textiles and garments trades,-8,Does not apply,0
K04000001,England and Wales,69,541 Textiles and garments trades,1,Part-time: 15 hours or less worked,5317
K04000001,England and Wales,69,541 Textiles and garments trades,2,Part-time: 16 to 30 hours worked,8392
K04000001,England and Wales,69,541 Textiles and garments trades,3,Full-time: 31 to 48 hours worked,22461
K04000001,England and Wales,69,541 Textiles and garments trades,4,Full-time: 49 or more hours worked,3128
K04000001,England and Wales,70,542 Printing trades,-8,Does not apply,0
K04000001,England and Wales,70,542 Printing trades,1,Part-time: 15 hours or less worked,1919
K04000001,England and Wales,70,542 Printing trades,2,Part-time: 16 to 30 hours worked,2744
K04000001,England and Wales,70,542 Printing trades,3,Full-time: 31 to 48 hours worked,22614
K04000001,England and Wales,70,542 Printing trades,4,Full-time: 49 or more hours worked,1501
K04000001,England and Wales,71,543 Food preparation and hospitality trades,-8,Does not apply,0
K04000001,England and Wales,71,543 Food preparation and hospitality trades,1,Part-time: 15 hours or less worked,51368
K04000001,England and Wales,71,543 Food preparation and hospitality trades,2,Part-time: 16 to 30 hours worked,120260
K04000001,England and Wales,71,543 Food preparation and hospitality trades,3,Full-time: 31 to 48 hours worked,195053
K04000001,England and Wales,71,543 Food preparation and hospitality trades,4,Full-time: 49 or more hours worked,47372
K04000001,England and Wales,72,544 Other skilled trades,-8,Does not apply,0
K04000001,England and Wales,72,544 Other skilled trades,1,Part-time: 15 hours or less worked,9941
K04000001,England and Wales,72,544 Other skilled trades,2,Part-time: 16 to 30 hours worked,13988
K04000001,England and Wales,72,544 Other skilled trades,3,Full-time: 31 to 48 hours worked,39663
K04000001,England and Wales,72,544 Other skilled trades,4,Full-time: 49 or more hours worked,6813
K04000001,England and Wales,73,611 Teaching and childcare support occupations,-8,Does not apply,0
K04000001,England and Wales,73,611 Teaching and childcare support occupations,1,Part-time: 15 hours or less worked,61789
K04000001,England and Wales,73,611 Teaching and childcare support occupations,2,Part-time: 16 to 30 hours worked,221847
K04000001,England and Wales,73,611 Teaching and childcare support occupations,3,Full-time: 31 to 48 hours worked,241510
K04000001,England and Wales,73,611 Teaching and childcare support occupations,4,Full-time: 49 or more hours worked,17917
K04000001,England and Wales,74,612 Animal care and control services,-8,Does not apply,0
K04000001,England and Wales,74,612 Animal care and control services,1,Part-time: 15 hours or less worked,17250
K04000001,England and Wales,74,612 Animal care and control services,2,Part-time: 16 to 30 hours worked,22680
K04000001,England and Wales,74,612 Animal care and control services,3,Full-time: 31 to 48 hours worked,33525
K04000001,England and Wales,74,612 Animal care and control services,4,Full-time: 49 or more hours worked,7199
K04000001,England and Wales,75,613 Caring personal services,-8,Does not apply,0
K04000001,England and Wales,75,613 Caring personal services,1,Part-time: 15 hours or less worked,139381
K04000001,England and Wales,75,613 Caring personal services,2,Part-time: 16 to 30 hours worked,451943
K04000001,England and Wales,75,613 Caring personal services,3,Full-time: 31 to 48 hours worked,685078
K04000001,England and Wales,75,613 Caring personal services,4,Full-time: 49 or more hours worked,111511
K04000001,England and Wales,76,621 Leisure and travel services,-8,Does not apply,0
K04000001,England and Wales,76,621 Leisure and travel services,1,Part-time: 15 hours or less worked,25538
K04000001,England and Wales,76,621 Leisure and travel services,2,Part-time: 16 to 30 hours worked,26795
K04000001,England and Wales,76,621 Leisure and travel services,3,Full-time: 31 to 48 hours worked,56052
K04000001,England and Wales,76,621 Leisure and travel services,4,Full-time: 49 or more hours worked,4969
K04000001,England and Wales,77,622 Hairdressers and related services,-8,Does not apply,0
K04000001,England and Wales,77,622 Hairdressers and related services,1,Part-time: 15 hours or less worked,71576
K04000001,England and Wales,77,622 Hairdressers and related services,2,Part-time: 16 to 30 hours worked,82602
K04000001,England and Wales,77,622 Hairdressers and related services,3,Full-time: 31 to 48 hours worked,82904
K04000001,England and Wales,77,622 Hairdressers and related services,4,Full-time: 49 or more hours worked,8789
K04000001,England and Wales,78,623 Housekeeping and related services,-8,Does not apply,0
K04000001,England and Wales,78,623 Housekeeping and related services,1,Part-time: 15 hours or less worked,23605
K04000001,England and Wales,78,623 Housekeeping and related services,2,Part-time: 16 to 30 hours worked,49646
K04000001,England and Wales,78,623 Housekeeping and related services,3,Full-time: 31 to 48 hours worked,65167
K04000001,England and Wales,78,623 Housekeeping and related services,4,Full-time: 49 or more hours worked,3749
K04000001,England and Wales,79,624 Cleaning and housekeeping managers and supervisors,-8,Does not apply,0
K04000001,England and Wales,79,624 Cleaning and housekeeping managers and supervisors,1,Part-time: 15 hours or less worked,8415
K04000001,England and Wales,79,624 Cleaning and housekeeping managers and supervisors,2,Part-time: 16 to 30 hours worked,18473
K04000001,England and Wales,79,624 Cleaning and housekeeping managers and supervisors,3,Full-time: 31 to 48 hours worked,27952
K04000001,England and Wales,79,624 Cleaning and housekeeping managers and supervisors,4,Full-time: 49 or more hours worked,2734
K04000001,England and Wales,80,625 Bed and breakfast and guest house owners and proprietors,-8,Does not apply,0
K04000001,England and Wales,80,625 Bed and breakfast and guest house owners and proprietors,1,Part-time: 15 hours or less worked,2378
K04000001,England and Wales,80,625 Bed and breakfast and guest house owners and proprietors,2,Part-time: 16 to 30 hours worked,1345
K04000001,England and Wales,80,625 Bed and breakfast and guest house owners and proprietors,3,Full-time: 31 to 48 hours worked,1749
K04000001,England and Wales,80,625 Bed and breakfast and guest house owners and proprietors,4,Full-time: 49 or more hours worked,1886
K04000001,England and Wales,81,631 Community and civil enforcement occupations,-8,Does not apply,0
K04000001,England and Wales,81,631 Community and civil enforcement occupations,1,Part-time: 15 hours or less worked,775
K04000001,England and Wales,81,631 Community and civil enforcement occupations,2,Part-time: 16 to 30 hours worked,2576
K04000001,England and Wales,81,631 Community and civil enforcement occupations,3,Full-time: 31 to 48 hours worked,17878
K04000001,England and Wales,81,631 Community and civil enforcement occupations,4,Full-time: 49 or more hours worked,994
K04000001,England and Wales,82,711 Sales assistants and retail cashiers,-8,Does not apply,0
K04000001,England and Wales,82,711 Sales assistants and retail cashiers,1,Part-time: 15 hours or less worked,322176
K04000001,England and Wales,82,711 Sales assistants and retail cashiers,2,Part-time: 16 to 30 hours worked,582658
K04000001,England and Wales,82,711 Sales assistants and retail cashiers,3,Full-time: 31 to 48 hours worked,384689
K04000001,England and Wales,82,711 Sales assistants and retail cashiers,4,Full-time: 49 or more hours worked,27238
K04000001,England and Wales,83,712 Sales related occupations,-8,Does not apply,0
K04000001,England and Wales,83,712 Sales related occupations,1,Part-time: 15 hours or less worked,8557
K04000001,England and Wales,83,712 Sales related occupations,2,Part-time: 16 to 30 hours worked,12871
K04000001,England and Wales,83,712 Sales related occupations,3,Full-time: 31 to 48 hours worked,38950
K04000001,England and Wales,83,712 Sales related occupations,4,Full-time: 49 or more hours worked,4701
K04000001,England and Wales,84,713 Shopkeepers and sales supervisors,-8,Does not apply,0
K04000001,England and Wales,84,713 Shopkeepers and sales supervisors,1,Part-time: 15 hours or less worked,30759
K04000001,England and Wales,84,713 Shopkeepers and sales supervisors,2,Part-time: 16 to 30 hours worked,62819
K04000001,England and Wales,84,713 Shopkeepers and sales supervisors,3,Full-time: 31 to 48 hours worked,147855
K04000001,England and Wales,84,713 Shopkeepers and sales supervisors,4,Full-time: 49 or more hours worked,37188
K04000001,England and Wales,85,721 Customer service occupations,-8,Does not apply,0
K04000001,England and Wales,85,721 Customer service occupations,1,Part-time: 15 hours or less worked,33094
K04000001,England and Wales,85,721 Customer service occupations,2,Part-time: 16 to 30 hours worked,98684
K04000001,England and Wales,85,721 Customer service occupations,3,Full-time: 31 to 48 hours worked,266999
K04000001,England and Wales,85,721 Customer service occupations,4,Full-time: 49 or more hours worked,9849
K04000001,England and Wales,86,722 Customer service supervisors,-8,Does not apply,0
K04000001,England and Wales,86,722 Customer service supervisors,1,Part-time: 15 hours or less worked,444
K04000001,England and Wales,86,722 Customer service supervisors,2,Part-time: 16 to 30 hours worked,2131
K04000001,England and Wales,86,722 Customer service supervisors,3,Full-time: 31 to 48 hours worked,14547
K04000001,England and Wales,86,722 Customer service supervisors,4,Full-time: 49 or more hours worked,900
K04000001,England and Wales,87,811 Process operatives,-8,Does not apply,0
K04000001,England and Wales,87,811 Process operatives,1,Part-time: 15 hours or less worked,10210
K04000001,England and Wales,87,811 Process operatives,2,Part-time: 16 to 30 hours worked,23886
K04000001,England and Wales,87,811 Process operatives,3,Full-time: 31 to 48 hours worked,194848
K04000001,England and Wales,87,811 Process operatives,4,Full-time: 49 or more hours worked,17143
K04000001,England and Wales,88,812 Metal working machine operatives,-8,Does not apply,0
K04000001,England and Wales,88,812 Metal working machine operatives,1,Part-time: 15 hours or less worked,1383
K04000001,England and Wales,88,812 Metal working machine operatives,2,Part-time: 16 to 30 hours worked,2626
K04000001,England and Wales,88,812 Metal working machine operatives,3,Full-time: 31 to 48 hours worked,40342
K04000001,England and Wales,88,812 Metal working machine operatives,4,Full-time: 49 or more hours worked,3897
K04000001,England and Wales,89,813 Plant and machine operatives,-8,Does not apply,0
K04000001,England and Wales,89,813 Plant and machine operatives,1,Part-time: 15 hours or less worked,2557
K04000001,England and Wales,89,813 Plant and machine operatives,2,Part-time: 16 to 30 hours worked,5062
K04000001,England and Wales,89,813 Plant and machine operatives,3,Full-time: 31 to 48 hours worked,69072
K04000001,England and Wales,89,813 Plant and machine operatives,4,Full-time: 49 or more hours worked,10875
K04000001,England and Wales,90,814 Assemblers and routine operatives,-8,Does not apply,0
K04000001,England and Wales,90,814 Assemblers and routine operatives,1,Part-time: 15 hours or less worked,8932
K04000001,England and Wales,90,814 Assemblers and routine operatives,2,Part-time: 16 to 30 hours worked,19715
K04000001,England and Wales,90,814 Assemblers and routine operatives,3,Full-time: 31 to 48 hours worked,146938
K04000001,England and Wales,90,814 Assemblers and routine operatives,4,Full-time: 49 or more hours worked,11085
K04000001,England and Wales,91,815 Construction operatives,-8,Does not apply,0
K04000001,England and Wales,91,815 Construction operatives,1,Part-time: 15 hours or less worked,13673
K04000001,England and Wales,91,815 Construction operatives,2,Part-time: 16 to 30 hours worked,21895
K04000001,England and Wales,91,815 Construction operatives,3,Full-time: 31 to 48 hours worked,111776
K04000001,England and Wales,91,815 Construction operatives,4,Full-time: 49 or more hours worked,26345
K04000001,England and Wales,92,"816 Production, factory and assembly supervisors",-8,Does not apply,0
K04000001,England and Wales,92,"816 Production, factory and assembly supervisors",1,Part-time: 15 hours or less worked,1132
K04000001,England and Wales,92,"816 Production, factory and assembly supervisors",2,Part-time: 16 to 30 hours worked,2647
K04000001,England and Wales,92,"816 Production, factory and assembly supervisors",3,Full-time: 31 to 48 hours worked,48276
K04000001,England and Wales,92,"816 Production, factory and assembly supervisors",4,Full-time: 49 or more hours worked,6230
K04000001,England and Wales,93,821 Road transport drivers,-8,Does not apply,0
K04000001,England and Wales,93,821 Road transport drivers,1,Part-time: 15 hours or less worked,87450
K04000001,England and Wales,93,821 Road transport drivers,2,Part-time: 16 to 30 hours worked,182049
K04000001,England and Wales,93,821 Road transport drivers,3,Full-time: 31 to 48 hours worked,465427
K04000001,England and Wales,93,821 Road transport drivers,4,Full-time: 49 or more hours worked,202923
K04000001,England and Wales,94,822 Mobile machine drivers and operatives,-8,Does not apply,0
K04000001,England and Wales,94,822 Mobile machine drivers and operatives,1,Part-time: 15 hours or less worked,2862
K04000001,England and Wales,94,822 Mobile machine drivers and operatives,2,Part-time: 16 to 30 hours worked,4875
K04000001,England and Wales,94,822 Mobile machine drivers and operatives,3,Full-time: 31 to 48 hours worked,90517
K04000001,England and Wales,94,822 Mobile machine drivers and operatives,4,Full-time: 49 or more hours worked,30193
K04000001,England and Wales,95,823 Other drivers and transport operatives,-8,Does not apply,0
K04000001,England and Wales,95,823 Other drivers and transport operatives,1,Part-time: 15 hours or less worked,2285
K04000001,England and Wales,95,823 Other drivers and transport operatives,2,Part-time: 16 to 30 hours worked,4291
K04000001,England and Wales,95,823 Other drivers and transport operatives,3,Full-time: 31 to 48 hours worked,57240
K04000001,England and Wales,95,823 Other drivers and transport operatives,4,Full-time: 49 or more hours worked,9482
K04000001,England and Wales,96,911 Elementary agricultural occupations,-8,Does not apply,0
K04000001,England and Wales,96,911 Elementary agricultural occupations,1,Part-time: 15 hours or less worked,5178
K04000001,England and Wales,96,911 Elementary agricultural occupations,2,Part-time: 16 to 30 hours worked,8561
K04000001,England and Wales,96,911 Elementary agricultural occupations,3,Full-time: 31 to 48 hours worked,28983
K04000001,England and Wales,96,911 Elementary agricultural occupations,4,Full-time: 49 or more hours worked,13958
K04000001,England and Wales,97,912 Elementary construction occupations,-8,Does not apply,0
K04000001,England and Wales,97,912 Elementary construction occupations,1,Part-time: 15 hours or less worked,11150
K04000001,England and Wales,97,912 Elementary construction occupations,2,Part-time: 16 to 30 hours worked,16648
K04000001,England and Wales,97,912 Elementary construction occupations,3,Full-time: 31 to 48 hours worked,122262
K04000001,England and Wales,97,912 Elementary construction occupations,4,Full-time: 49 or more hours worked,23005
K04000001,England and Wales,98,913 Elementary process plant occupations,-8,Does not apply,0
K04000001,England and Wales,98,913 Elementary process plant occupations,1,Part-time: 15 hours or less worked,14136
K04000001,England and Wales,98,913 Elementary process plant occupations,2,Part-time: 16 to 30 hours worked,33026
K04000001,England and Wales,98,913 Elementary process plant occupations,3,Full-time: 31 to 48 hours worked,170130
K04000001,England and Wales,98,913 Elementary process plant occupations,4,Full-time: 49 or more hours worked,11593
K04000001,England and Wales,99,921 Elementary administration occupations,-8,Does not apply,0
K04000001,England and Wales,99,921 Elementary administration occupations,1,Part-time: 15 hours or less worked,16720
K04000001,England and Wales,99,921 Elementary administration occupations,2,Part-time: 16 to 30 hours worked,35299
K04000001,England and Wales,99,921 Elementary administration occupations,3,Full-time: 31 to 48 hours worked,101318
K04000001,England and Wales,99,921 Elementary administration occupations,4,Full-time: 49 or more hours worked,10504
K04000001,England and Wales,100,922 Elementary cleaning occupations,-8,Does not apply,0
K04000001,England and Wales,100,922 Elementary cleaning occupations,1,Part-time: 15 hours or less worked,225782
K04000001,England and Wales,100,922 Elementary cleaning occupations,2,Part-time: 16 to 30 hours worked,266487
K04000001,England and Wales,100,922 Elementary cleaning occupations,3,Full-time: 31 to 48 hours worked,207993
K04000001,England and Wales,100,922 Elementary cleaning occupations,4,Full-time: 49 or more hours worked,17608
K04000001,England and Wales,101,923 Elementary security occupations,-8,Does not apply,0
K04000001,England and Wales,101,923 Elementary security occupations,1,Part-time: 15 hours or less worked,80346
K04000001,England and Wales,101,923 Elementary security occupations,2,Part-time: 16 to 30 hours worked,35586
K04000001,England and Wales,101,923 Elementary security occupations,3,Full-time: 31 to 48 hours worked,102168
K04000001,England and Wales,101,923 Elementary security occupations,4,Full-time: 49 or more hours worked,36862
K04000001,England and Wales,102,924 Elementary sales occupations,-8,Does not apply,0
K04000001,England and Wales,102,924 Elementary sales occupations,1,Part-time: 15 hours or less worked,14055
K04000001,England and Wales,102,924 Elementary sales occupations,2,Part-time: 16 to 30 hours worked,36377
K04000001,England and Wales,102,924 Elementary sales occupations,3,Full-time: 31 to 48 hours worked,27275
K04000001,England and Wales,102,924 Elementary sales occupations,4,Full-time: 49 or more hours worked,1088
K04000001,England and Wales,103,925 Elementary storage occupations,-8,Does not apply,0
K04000001,England and Wales,103,925 Elementary storage occupations,1,Part-time: 15 hours or less worked,25591
K04000001,England and Wales,103,925 Elementary storage occupations,2,Part-time: 16 to 30 hours worked,73413
K04000001,England and Wales,103,925 Elementary storage occupations,3,Full-time: 31 to 48 hours worked,419489
K04000001,England and Wales,103,925 Elementary storage occupations,4,Full-time: 49 or more hours worked,29359
K04000001,England and Wales,104,926 Other elementary services occupations,-8,Does not apply,0
K04000001,England and Wales,104,926 Other elementary services occupations,1,Part-time: 15 hours or less worked,218858
K04000001,England and Wales,104,926 Other elementary services occupations,2,Part-time: 16 to 30 hours worked,263421
K04000001,England and Wales,104,926 Other elementary services occupations,3,Full-time: 31 to 48 hours worked,189054
K04000001,England and Wales,104,926 Other elementary services occupations,4,Full-time: 49 or more hours worked,13530
